ID	class	Prob_class	order	Prob_order	family	Prob_family	subfamily	Prob_subfamily	tribe	Prob_tribe	genus	Prob_genus	species	Prob_species
TANYT085-14		Insecta	1.00	Diptera	0.74	Chironomidae	0.37	Chironominae	0.27	Tanytarsini	0.20	Constempellina	0.12	Constempellina_brevicosta	0.12
TBGMI042-21		Insecta	0.99	Coleoptera	0.60	Staphylinidae	0.23	Staphylininae	0.10	Staphylinini	0.08	Philonthus	0.05	Dendrophilus_punctatus	0.03
TRCBG967-20		Insecta	0.97	Diptera	0.33	Chironomidae	0.09	dummy_Bucculatricidae	0.08	dummy_Bucculatricidae	0.08	Bucculatrix	0.08	Bucculatrix_bechsteinella	0.05
SMNSA260-16		Arachnida	1.00	Araneae	1.00	Thomisidae	0.90	dummy_Thomisidae	0.90	dummy_Thomisidae	0.90	Xysticus	0.77	Xysticus_obscurus	0.25
SMNSA107-16		Arachnida	1.00	Araneae	1.00	Linyphiidae	0.97	dummy_Linyphiidae	0.97	dummy_Linyphiidae	0.97	Erigone	0.91	Erigone_welchi	0.79
SMNSA079-16		Arachnida	1.00	Araneae	1.00	Araneidae	1.00	dummy_Araneidae	1.00	dummy_Araneidae	1.00	Gibbaranea	1.00	Gibbaranea_omoeda	1.00
SCINO728-15		Insecta	1.00	Lepidoptera	0.45	Geometridae	0.16	dummy_Sciaridae	0.11	dummy_Sciaridae	0.11	Aleochara	0.07	Cleorodes_lichenaria	0.03
SCINO481-15		Insecta	1.00	Diptera	0.66	Tachinidae	0.22	Exoristinae	0.16	dummy_Sciaridae	0.12	Leptosciarella	0.08	Leptosciarella_claviforceps	0.08
PSESC012-21		Insecta	1.00	Hymenoptera	0.79	Megachilidae	0.43	Megachilinae	0.43	Megachilini	0.31	Coelioxys	0.29	Coelioxys_conoidea	0.22
SMNSA157-16		Arachnida	1.00	Araneae	1.00	Araneidae	1.00	dummy_Araneidae	1.00	dummy_Araneidae	1.00	Araneus	1.00	Araneus_angulatus	1.00
TACFI043-11		Insecta	1.00	Diptera	0.96	Tachinidae	0.62	Exoristinae	0.53	Goniini	0.32	Gonia	0.13	Myxexoristops_stolida	0.10
SCINO339-15		Insecta	1.00	Diptera	0.90	Sciaridae	0.67	dummy_Sciaridae	0.67	dummy_Sciaridae	0.67	Camptochaeta	0.31	Camptochaeta_camptochaeta	0.20
TACFI574-12		Insecta	1.00	Diptera	1.00	Tachinidae	1.00	Exoristinae	1.00	Acemyini	1.00	Acemya	1.00	Acemya_rufitibia	1.00
SMNKA194-16		Arachnida	0.92	Araneae	0.92	Linyphiidae	0.19	dummy_Linyphiidae	0.19	dummy_Linyphiidae	0.19	Ceratinella	0.13	Ceratinella_wideri	0.09
TACFI609-12		Insecta	1.00	Diptera	1.00	Tachinidae	1.00	Tachininae	1.00	Ernestiini	1.00	Synactia	1.00	Synactia_parvula	1.00
SMNKA057-16		Arachnida	1.00	Araneae	1.00	Linyphiidae	1.00	dummy_Linyphiidae	1.00	dummy_Linyphiidae	1.00	Walckenaeria	1.00	Walckenaeria_obtusa	1.00
SMNKA237-16		Arachnida	0.96	Araneae	0.96	Araneidae	0.43	dummy_Araneidae	0.43	dummy_Araneidae	0.43	Araniella	0.30	Araniella_proxima	0.30
RDNMD370-06		Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Noctuini	1.00	Anaplectoides	1.00	Anaplectoides_prasina	1.00
PYRG084-09		Insecta	1.00	Lepidoptera	1.00	Crambidae	1.00	Pyraustinae	1.00	dummy_Pyraustinae	1.00	Anania	1.00	Anania_coronata	1.00
TACFI603-12		Insecta	1.00	Diptera	1.00	Tachinidae	1.00	Exoristinae	1.00	Blondeliini	1.00	Meigenia	1.00	Meigenia_dorsalis	1.00
TBGMI165-21		Insecta	0.86	Diptera	0.48	Mycetophilidae	0.09	dummy_Chamobatidae	0.08	dummy_Chamobatidae	0.08	Chamobates	0.08	Chamobates_cuspidatus	0.08
TIPSY334-12		Insecta	1.00	Lepidoptera	0.76	Geometridae	0.21	Larentiinae	0.10	dummy_Ennominae	0.10	Eupithecia	0.05	Biston_betularia	0.05
TBGMI026-21		Insecta	0.99	Diptera	0.43	Chironomidae	0.12	Harpalinae	0.08	dummy_Sciaridae	0.06	Phaenopsectra	0.05	Phaenopsectra_flavipes	0.05
SMNSA197-16		Insecta	0.92	Diptera	0.36	Crambidae	0.11	Scopariinae	0.09	dummy_Scopariinae	0.09	Eudonia	0.09	Mitopus_morio	0.08
TBGMI181-21		Insecta	1.00	Coleoptera	0.33	Noctuidae	0.09	Noctuinae	0.06	dummy_Sciaridae	0.05	Sorhagenia	0.04	Bradysia_excelsa	0.03
SCINO1264-16		Insecta	1.00	Diptera	0.78	Sciaridae	0.34	dummy_Sciaridae	0.34	dummy_Sciaridae	0.34	Bradysia	0.21	Bradysia_subalpina	0.08
TBGMI153-21		Arachnida	1.00	Sarcoptiformes	1.00	Ceratozetidae	1.00	dummy_Ceratozetidae	1.00	dummy_Ceratozetidae	1.00	Fuscozetes	1.00	Fuscozetes_fuscipes	1.00
SYGEO357-19		Insecta	1.00	Diptera	1.00	Syrphidae	1.00	Eristalinae	0.99	Milesiini	0.97	Xylota	0.96	Xylota_meigeniana	0.49
SMNSA228-16		Insecta	1.00	Lepidoptera	0.36	Crambidae	0.09	Ennominae	0.05	dummy_Ennominae	0.05	Empria	0.04	Loxostege_sticticalis	0.04
TACFI437-12		Insecta	1.00	Diptera	1.00	Tachinidae	1.00	Phasiinae	1.00	Phasiini	1.00	Phasia	1.00	Phasia_obesa	0.69
SMNSA064-16		Arachnida	0.90	Araneae	0.90	Theridiidae	0.48	dummy_Theridiidae	0.48	dummy_Theridiidae	0.48	Yunohamella	0.15	Yunohamella_palmgreni	0.15
RDBA381-06		Insecta	0.99	Lepidoptera	0.42	Ichneumonidae	0.13	Nematinae	0.07	dummy_Nematinae	0.07	Euura	0.05	Chalarus_latifrons	0.05
SIEG014-18		Insecta	1.00	Coleoptera	1.00	Dytiscidae	1.00	Hydroporinae	1.00	Hydroporini	1.00	Nebrioporus	1.00	Nebrioporus_depressus	1.00
ZYGMO233-10		Insecta	1.00	Lepidoptera	1.00	Zygaenidae	1.00	Procridinae	1.00	Procridini	1.00	Rhagades	1.00	Rhagades_pruni	1.00
TRCBG996-20		Insecta	0.99	Diptera	0.31	Chironomidae	0.09	dummy_Nepticulidae	0.06	dummy_Nepticulidae	0.06	Hypera	0.05	Stigmella_lediella	0.04
SMNKA171-16		Arachnida	0.92	Araneae	0.92	Gnaphosidae	0.66	dummy_Gnaphosidae	0.66	dummy_Gnaphosidae	0.66	Zelotes	0.38	Zelotes_latreillei	0.24
TIPSY030-08		Insecta	1.00	Lepidoptera	0.95	Psychidae	0.72	Oiketicinae	0.71	dummy_Oiketicinae	0.71	Sterrhopterix	0.38	Sterrhopterix_fusca	0.34
TBGMI054-21		Insecta	0.98	Diptera	0.40	Gelechiidae	0.08	Olethreutinae	0.07	Anacampsini	0.06	Aproaerema	0.06	Aproaerema_anthyllidella	0.05
RDNMG507-08		Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Xylenini	1.00	Leptologia	1.00	Leptologia_lota	1.00
TBGMI048-21		Insecta	0.99	Diptera	0.35	Carabidae	0.13	Harpalinae	0.12	Mycetophilini	0.05	Mycetophila	0.04	Siphona_paludosa	0.04
TBGMI038-21		Insecta	1.00	Coleoptera	0.48	Carabidae	0.28	Harpalinae	0.27	Harpalini	0.16	Harpalus	0.13	Harpalus_rubripes	0.08
SMNKA111-16		Arachnida	1.00	Araneae	1.00	Lycosidae	0.88	dummy_Lycosidae	0.88	dummy_Lycosidae	0.88	Alopecosa	0.51	Alopecosa_taeniata	0.20
SYGEO137-19		Insecta	1.00	Diptera	0.97	Syrphidae	0.66	Eristalinae	0.58	Rhingiini	0.34	Cheilosia	0.34	Spilomyia_diophthalma	0.21
SMNKA259-16		Arachnida	1.00	Araneae	1.00	Linyphiidae	1.00	dummy_Linyphiidae	1.00	dummy_Linyphiidae	1.00	Bolyphantes	1.00	Bolyphantes_alticeps	1.00
SMNKA058-16		Arachnida	1.00	Araneae	1.00	Thomisidae	0.87	dummy_Thomisidae	0.87	dummy_Thomisidae	0.87	Xysticus	0.76	Xysticus_luctuosus	0.24
TACFI757-13		Insecta	1.00	Diptera	1.00	Tachinidae	1.00	Tachininae	1.00	Tachinini	1.00	Tachina	1.00	Tachina_fera	1.00
TACFI008-11		Insecta	1.00	Diptera	0.99	Tachinidae	0.56	Phasiinae	0.32	Phasiini	0.29	Phasia	0.29	Phasia_barbifrons	0.13
TACFI199-12		Insecta	1.00	Diptera	0.92	Tachinidae	0.67	Exoristinae	0.42	Eryciini	0.25	Phasia	0.18	Phasia_barbifrons	0.17
TACFI055-11		Insecta	1.00	Diptera	0.98	Anthomyiidae	0.37	dummy_Anthomyiidae	0.37	dummy_Anthomyiidae	0.37	Spilogona	0.09	Diplostichus_janitrix	0.05
TIPSY022-08		Insecta	1.00	Lepidoptera	1.00	Psychidae	1.00	Psychinae	1.00	dummy_Psychinae	1.00	Proutia	1.00	Proutia_rotunda	1.00
SMNKA201-16		Arachnida	1.00	Araneae	1.00	Linyphiidae	1.00	dummy_Linyphiidae	1.00	dummy_Linyphiidae	1.00	Agyneta	0.95	Agyneta_mossica	0.78
SMNKA174-16		Arachnida	0.97	Araneae	0.97	Linyphiidae	0.86	dummy_Linyphiidae	0.86	dummy_Linyphiidae	0.86	Walckenaeria	0.29	Walckenaeria_cuspidata	0.26
SMNSA028-16		Arachnida	1.00	Araneae	1.00	Lycosidae	1.00	dummy_Lycosidae	1.00	dummy_Lycosidae	1.00	Pardosa	0.96	Pardosa_schenkeli	0.92
TACFI438-12		Insecta	1.00	Diptera	1.00	Tachinidae	1.00	Phasiinae	1.00	Phasiini	1.00	Phasia	1.00	Phasia_obesa	0.89
SMNKA218-16		Arachnida	1.00	Araneae	1.00	Lycosidae	1.00	dummy_Lycosidae	1.00	dummy_Lycosidae	1.00	Pardosa	0.99	Pardosa_schenkeli	0.94
TANYT061-14		Insecta	1.00	Diptera	1.00	Chironomidae	1.00	Chironominae	1.00	Tanytarsini	1.00	Tanytarsus	1.00	Tanytarsus_occultus	1.00
PMANL3464-14		Insecta	1.00	Lepidoptera	1.00	Pyralidae	0.99	Phycitinae	0.99	dummy_Phycitinae	0.99	Homoeosoma	0.99	Homoeosoma_nebulella	0.75
TBGMI010-21		Insecta	0.99	Lepidoptera	0.34	Staphylinidae	0.09	Larentiinae	0.07	Eupitheciini	0.05	Eupithecia	0.05	Loxostege_ephippialis	0.04
SMNKA283-16		Arachnida	0.99	Araneae	0.99	Linyphiidae	0.55	dummy_Linyphiidae	0.55	dummy_Linyphiidae	0.55	Synageles	0.12	Synageles_venator	0.12
SMNKA034-16		Arachnida	1.00	Araneae	1.00	Lycosidae	0.98	dummy_Lycosidae	0.98	dummy_Lycosidae	0.98	Alopecosa	0.84	Alopecosa_taeniata	0.36
SMNKA313-16		Arachnida	0.88	Araneae	0.88	Theridiidae	0.27	dummy_Theridiidae	0.27	dummy_Theridiidae	0.27	Theridion	0.23	Theridion_pictum	0.22
SMNSA171-16		Arachnida	0.90	Araneae	0.90	Theridiidae	0.30	dummy_Theridiidae	0.30	dummy_Theridiidae	0.30	Amaurobius	0.09	Amaurobius_fenestralis	0.09
TACFI664-12		Insecta	1.00	Diptera	1.00	Tachinidae	1.00	Exoristinae	1.00	Eryciini	1.00	Senometopia	1.00	Senometopia_pollinosa	0.68
SYGEO028-19		Insecta	1.00	Diptera	1.00	Syrphidae	1.00	Syrphinae	1.00	Syrphini	1.00	Xanthogramma	1.00	Xanthogramma_pedissequum	0.67
TBGMI028-21		Insecta	0.97	Coleoptera	0.54	Staphylinidae	0.09	Meligethinae	0.08	dummy_Meligethinae	0.08	Genistogethes	0.08	Genistogethes_carinulatus	0.08
SMNKA153-16		Arachnida	1.00	Araneae	1.00	Linyphiidae	1.00	dummy_Linyphiidae	1.00	dummy_Linyphiidae	1.00	Agyneta	0.98	Agyneta_mossica	0.80
TIPSY089-08		Insecta	1.00	Lepidoptera	1.00	Psychidae	1.00	Oiketicinae	1.00	dummy_Oiketicinae	1.00	Canephora	1.00	Canephora_hirsuta	1.00
